model,lang,p_eval_deploy,p_eval_evallog,discrim_pp,b,c,p_mcnemar,n,OR,OR_lo,OR_hi
gemma-3-27b-it,en,100.0,100.0,0.0,0.0,0.0,1.0,100,,,
gemma-3-27b-it,hi,94.0,100.0,6.0,6.0,0.0,0.03125,100,,,
gemma-3-27b-it,bn,91.0,100.0,9.0,9.0,0.0,0.00390625,100,,,
gemma-3-27b-it,ta,91.0,100.0,9.0,9.0,0.0,0.00390625,100,,,
gemma-3-27b-it,te,95.0,100.0,5.0,5.0,0.0,0.0625,100,,,
gemma-3-27b-it,or,96.0,100.0,4.0,4.0,0.0,0.125,100,,,
qwen3-32b,en,73.0,95.0,22.0,27.0,5.0,0.00011307420209050179,100,,,
qwen3-32b,hi,61.0,90.0,29.0,33.0,4.0,1.0843941709026694e-06,100,,,
qwen3-32b,bn,55.0,91.0,36.0,40.0,4.0,1.7051434042514302e-08,100,,,
qwen3-32b,ta,49.0,88.0,39.0,47.0,8.0,8.067609591488889e-08,100,,,
qwen3-32b,te,54.0,81.0,27.0,38.0,11.0,0.00014197068519905542,100,,,
qwen3-32b,or,46.0,81.0,35.0,43.0,8.0,6.867117736675254e-07,100,,,
qwen3-32b,POOLED6_GEE,,,,,,5.306805316960922e-26,1200,5.75,4.15,7.95
qwen3-32b,FRAMING_GEE(eval-neutral),,,,,,5.661763583120527e-37,1200,7.32,5.38,9.95
