lang,label,gemma,sarvam,deg,n
bn,EN->T eval c0.1,96.0,92.9,4.0,100
bn,EN->T eval c0.25,100.0,100.0,100.0,100
bn,EN->T null c0.1,72.0,59.6,2.0,100
bn,deploy,60.0,69.9,0.0,100
bn,eval,69.0,80.0,0.0,100
bn,harmless EN c0.1,76.0,48.0,4.0,100
hi,EN->T eval c0.1,96.0,96.9,8.0,100
hi,EN->T eval c0.25,100.0,100.0,100.0,100
hi,EN->T null c0.1,56.0,67.8,1.0,100
hi,deploy,63.0,73.7,0.0,100
hi,eval,90.0,93.0,0.0,100
hi,harmless EN c0.1,44.0,43.5,4.0,100
or,EN->T eval c0.1,93.9,66.7,0.0,100
or,EN->T eval c0.25,100.0,100.0,100.0,100
or,EN->T null c0.1,94.9,50.0,0.0,100
or,deploy,95.7,73.3,0.0,100
or,eval,96.9,70.0,0.0,100
or,harmless EN c0.1,92.0,18.2,1.0,100
ta,EN->T eval c0.1,86.0,59.4,0.0,100
ta,EN->T eval c0.25,100.0,100.0,100.0,100
ta,EN->T null c0.1,77.0,68.2,4.0,100
ta,deploy,65.0,77.6,0.0,100
ta,eval,86.0,87.9,0.0,100
ta,harmless EN c0.1,89.1,45.8,2.0,100
te,EN->T eval c0.1,89.0,73.9,1.0,100
te,EN->T eval c0.25,100.0,100.0,100.0,100
te,EN->T null c0.1,90.0,72.2,0.0,100
te,deploy,77.0,71.0,0.0,100
te,eval,89.9,78.1,0.0,100
te,harmless EN c0.1,85.4,20.8,1.0,100
